id,geoid,pop2010,stateUSPS
0,12001.0,247336.0,FL
1,12003.0,27115.0,FL
2,12005.0,168852.0,FL
3,12007.0,28520.0,FL
4,12009.0,543376.0,FL
5,12011.0,1748066.0,FL
6,12013.0,14625.0,FL
7,12015.0,159978.0,FL
8,12017.0,141236.0,FL
9,12019.0,190865.0,FL
10,12021.0,321520.0,FL
11,12023.0,67531.0,FL
12,12027.0,34862.0,FL
13,12029.0,16422.0,FL
14,12031.0,864263.0,FL
15,12033.0,297619.0,FL
16,12035.0,95696.0,FL
17,12037.0,11549.0,FL
18,12039.0,46389.0,FL
19,12041.0,16939.0,FL
20,12043.0,12884.0,FL
21,12045.0,15863.0,FL
22,12047.0,14799.0,FL
23,12049.0,27731.0,FL
24,12051.0,39140.0,FL
25,12053.0,172778.0,FL
26,12055.0,98786.0,FL
27,12057.0,1229226.0,FL
28,12059.0,19927.0,FL
29,12061.0,138028.0,FL
30,12063.0,49746.0,FL
31,12065.0,14761.0,FL
32,12067.0,8870.0,FL
33,12069.0,297052.0,FL
34,12071.0,618754.0,FL
35,12073.0,275487.0,FL
36,12075.0,40801.0,FL
37,12077.0,8365.0,FL
38,12079.0,19224.0,FL
39,12081.0,322833.0,FL
40,12083.0,331298.0,FL
41,12085.0,146318.0,FL
42,12086.0,2496435.0,FL
43,12087.0,73090.0,FL
44,12089.0,73314.0,FL
45,12091.0,180822.0,FL
46,12093.0,39996.0,FL
47,12095.0,1145956.0,FL
48,12097.0,268685.0,FL
49,12099.0,1320134.0,FL
50,12101.0,464697.0,FL
51,12103.0,916542.0,FL
52,12105.0,602095.0,FL
53,12107.0,74364.0,FL
54,12109.0,190039.0,FL
55,12111.0,277789.0,FL
56,12113.0,151372.0,FL
57,12115.0,379448.0,FL
58,12117.0,422718.0,FL
59,12119.0,93420.0,FL
60,12121.0,41551.0,FL
61,12123.0,22570.0,FL
62,12125.0,15535.0,FL
63,12127.0,494593.0,FL
64,12129.0,30776.0,FL
65,12131.0,55043.0,FL
66,12133.0,24896.0,FL
