"FIPS","County","State","Country","Date","Lat","Long","Confirmed","Deaths","Recovered","Active","Combined_Key"
"12079","Madison","Florida","US","2020-01-22","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-01-23","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-01-24","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-01-25","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-01-26","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-01-27","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-01-28","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-01-29","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-01-30","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-01-31","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-02-01","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-02-02","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-02-03","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-02-04","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-02-05","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-02-06","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-02-07","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-02-08","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-02-09","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-02-10","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-02-11","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-02-12","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-02-13","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-02-14","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-02-15","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-02-16","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-02-17","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-02-18","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-02-19","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-02-20","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-02-21","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-02-22","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-02-23","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-02-24","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-02-25","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-02-26","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-02-27","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-02-28","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-02-29","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-03-01","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-03-02","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-03-03","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-03-04","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-03-05","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-03-06","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-03-07","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-03-08","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-03-09","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-03-10","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-03-11","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-03-12","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-03-13","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-03-14","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-03-15","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-03-16","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-03-17","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-03-18","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-03-19","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-03-20","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-03-21","30.44396917","-83.47398594","NA","NA","NA","NA","Madison, Florida, US"
"12079","Madison","Florida","US","2020-03-22","30.44396917","-83.47398594","0","0","0","0","Madison, Florida, US"
"12079","Madison","Florida","US","2020-03-23","30.44396917","-83.47398594","0","0","0","0","Madison, Florida, US"
"12079","Madison","Florida","US","2020-03-24","30.44396917","-83.47398594","0","0","0","0","Madison, Florida, US"
"12079","Madison","Florida","US","2020-03-25","30.44396917","-83.47398594","0","0","0","0","Madison, Florida, US"
"12079","Madison","Florida","US","2020-03-26","30.44396917","-83.47398594","0","0","0","0","Madison, Florida, US"
"12079","Madison","Florida","US","2020-03-27","30.44396917","-83.47398594","0","0","0","0","Madison, Florida, US"
"12079","Madison","Florida","US","2020-03-28","30.44396917","-83.47398594","0","0","0","0","Madison, Florida, US"
"12079","Madison","Florida","US","2020-03-29","30.44396917","-83.47398594","0","0","0","0","Madison, Florida, US"
"12079","Madison","Florida","US","2020-03-30","30.44396917","-83.47398594","0","0","0","0","Madison, Florida, US"
